epoch,train_loss,val_loss,train_iou,val_iou
1,0.5637091279029847,0.5524206292629242,0.38562500193715094,0.3750000023841858
2,0.5482554514706135,0.4719783866405487,0.38562500223517415,0.3750000023841858
3,0.4583853463828564,0.37375959277153015,0.45759249702095983,0.49902533650398256
4,0.371746414154768,0.35114670038223267,0.5302807083725929,0.4651999896764755
5,0.3408686476200819,0.31914504945278166,0.5663094170391559,0.5691707313060761
6,0.3321080384403467,0.29574490487575533,0.5866799713671207,0.6007185554504395
7,0.30829003274440764,0.30891948819160464,0.6097081300616264,0.5409162735939026
8,0.3018628858402371,0.28601509988307955,0.6163386645913124,0.6091480839252472
9,0.2942615032196045,0.2584612753987312,0.6198771323263645,0.6174562454223633
10,0.2804749982059002,0.2616054040193558,0.6305583469569683,0.6350709128379822
11,0.27740511644631627,0.2483619523048401,0.6302154158055783,0.6473041832447052
12,0.2733348526060581,0.23022251844406127,0.6312017425894737,0.6460552859306335
13,0.26480747625231743,0.2380672836303711,0.6318777275085449,0.6469078898429871
14,0.263574673384428,0.2445182481408119,0.6402688029408455,0.6398691499233246
15,0.2507525937631726,0.2329989928007126,0.6473767438530922,0.666340343952179
16,0.24348910693079234,0.23044926166534424,0.6415694293379783,0.6358550667762757
17,0.2434673347696662,0.22363210886716842,0.6460638140141964,0.6455407786369324
18,0.23807038508355619,0.21517650425434112,0.6499328598380089,0.651854190826416
19,0.22719362210482358,0.22899558246135712,0.6489284907281399,0.6085432064533234
20,0.21966927602887154,0.2040410652756691,0.6562151563167572,0.6796185278892517
21,0.2135179229080677,0.18501437962055206,0.6538727517426014,0.6871269392967224
22,0.20919086080044508,0.1931037724018097,0.6637467254698276,0.6983213663101197
23,0.20689480355009437,0.18347201496362686,0.6704825504124164,0.692068350315094
24,0.2015701433829963,0.22097036331892014,0.6691545094549656,0.6254717290401459
25,0.198543431609869,0.2093690061569214,0.6698845294117928,0.6399814105033874
26,0.1973349554091692,0.17115884453058242,0.6760060897469521,0.723441150188446
27,0.18285666137933732,0.17827098160982133,0.6866198328137397,0.692299575805664
28,0.18370722871273756,0.16377735912799835,0.6777246372401714,0.7151911664009094
29,0.17721391899511219,0.1695662346482277,0.6879523539543152,0.7172185945510864
30,0.1765628990344703,0.16506925880908965,0.6870999965071678,0.7168552947044372
