epoch,train_loss,val_loss,train_iou,val_iou
1,0.6157553869485856,0.6202720105648041,0.24671611766034401,0.3009574394104857
2,0.5869122102856636,0.5744665622711181,0.3507004249847773,0.36500060206057244
3,0.5779508598148823,0.5685488355159759,0.37769572794430134,0.3750000023841858
4,0.5720493906736374,0.5845597887039184,0.38562500178813935,0.3750000023841858
5,0.5706888666749,0.5602394425868988,0.38562500223517415,0.3750000023841858
6,0.5660139642655849,0.5653888976573944,0.38562500186264514,0.3750000023841858
7,0.567248841226101,0.565466136932373,0.38562500208616257,0.3750000023841858
8,0.5630974221229553,0.5589302289485931,0.3856250020116568,0.3750000023841858
9,0.561530567407608,0.5608553540706634,0.38562500230968,0.3750000023841858
10,0.5655527719855309,0.5564703750610351,0.3856250020116568,0.3750000023841858
11,0.5581629866361618,0.5597176909446716,0.38562500171363356,0.3750000023841858
12,0.559366112202406,0.5616632282733918,0.38562500193715094,0.3750000023841858
13,0.5627254292368888,0.558596283197403,0.38562500216066836,0.3750000023841858
14,0.5632989940047264,0.5574339234828949,0.38562500178813935,0.3750000023841858
15,0.5606618367135525,0.5551894295215607,0.38562500216066836,0.3750000023841858
16,0.5610728852450848,0.554841605424881,0.38562500193715094,0.3750000023841858
17,0.5595785775780677,0.5601008784770966,0.38562500204245864,0.3750000023841858
18,0.5588018998503685,0.5592051100730896,0.38562500208616257,0.3750000023841858
19,0.5609673708677292,0.5584905827045441,0.3856250020116568,0.3750000023841858
20,0.5598535934090614,0.5553011333942414,0.38562500230968,0.3750000023841858
